Id,Category,Title,Keyword,Location,Search_Word,Save_url
2620292,mountain,아리힐스리조트 스카이워크전망대,"#컬러풀스카이워크, #강원도정선군정선읍, #정선병방치스카이워크, #가을, #추경, #단풍, #아리힐스, #동강, #한반도지형, #명승제75호, #자연유산",강원도 정선군 정선읍,강원도 정선군 정선읍 아리힐스리조트 스카이워크전망대,mountain/2620292.jpg
2761893,mountain,다랑쉬오름,"#다랑쉬오름의아침, #제주특별자치도제주시, #제주도, #월랑봉, #분화구, #제주오름, #화산섬, #기생화산, #아끈다랑쉬오름",제주특별자치도 제주시,제주특별자치도 제주시 다랑쉬오름,mountain/2761893.jpg
2541130,mountain,와온해변,"#와온해변일몰, #전라남도순천시, #와온마을일몰, #서해바다, #석양, #낙조, #솔섬, #소나무숲, #송림, #솔숲, #갯벌, #펄, #뻘",전라남도 순천시 해룡면,전라남도 순천시 해룡면 와온해변,mountain/2541130.jpg
2504238,mountain,보성녹차밭,"#神仙의茶園, #전라남도보성군, #대한다원, #대한1다원, #대한다원1농장, #보성녹차밭, #대한다업, #운무",전라남도 보성군 보성읍,전라남도 보성군 보성읍 보성녹차밭,mountain/2504238.jpg
2563900,mountain,마이산,"#불타는마이산, #전라북도진안군",전라북도 진안군 진안읍,전라북도 진안군 진안읍 마이산,mountain/2563900.jpg
2760974,mountain,황매산,"#동틀무렵황매산철쭉, #경상남도합천군, #황매산군립공원, #봄, #꽃",경상남도 합천군,경상남도 합천군 황매산,mountain/2760974.jpg
1414194,mountain,소백산,"#소백산의겨울, #소백산국립공원, #눈, #설경",경상북도 영주시,경상북도 영주시 소백산국립공원,mountain/1414194.jpg
1925441,mountain,완도항,"#완도국제해조류박람회, #해조류, #박람회, #완도행사장, #국제슬로시티홍보관, #전라남도완도, #전라남도완도",전라남도 완도군,전라남도 완도군 완도항,mountain/1925441.jpg
2760973,mountain,남한강,"#끓어오르는남한강, #충청북도충주시, #눈, #설경, #겨울, #물안개",충청북도 충주시,충청북도 충주시 남한강,mountain/2760973.jpg
1746272,mountain,월출산,"#월출산설경, #겨울, #눈",전라남도 영암군 영암읍,전라남도 영암군 영암읍 월출산,mountain/1746272.jpg
